Unnamed: 0,district,municipality,parish,neighborhood,neighborhood_link
485,,setubal,azeitao,brejos de azeitao,https://www.idealista.pt/arrendar-casas/azeitao/brejos-de-azeitao/
486,,seixal,seixal arrentela aldeia de paio pires,quinta da fidalga quinta do outeiro murtinheira,https://www.idealista.pt/arrendar-casas/seixal-arrentela-aldeia-de-paio-pires/quinta-da-fidalga-quinta-do-outeiro-murtinheira/
487,,seixal,seixal arrentela aldeia de paio pires,zona historica do seixal frente ribeirinha,https://www.idealista.pt/arrendar-casas/seixal-arrentela-aldeia-de-paio-pires/zona-historica-do-seixal-frente-ribeirinha/
488,,seixal,seixal arrentela aldeia de paio pires,casal do marco,https://www.idealista.pt/arrendar-casas/seixal-arrentela-aldeia-de-paio-pires/casal-do-marco/
489,,seixal,seixal arrentela aldeia de paio pires,aldeia de paio pires alto dos bonecos vale da abelha,https://www.idealista.pt/arrendar-casas/seixal-arrentela-aldeia-de-paio-pires/aldeia-de-paio-pires-alto-dos-bonecos-vale-da-abelha/
490,,seixal,seixal arrentela aldeia de paio pires,pinhal de frades,https://www.idealista.pt/arrendar-casas/seixal-arrentela-aldeia-de-paio-pires/pinhal-de-frades/
491,,seixal,seixal arrentela aldeia de paio pires,quinta da trindade,https://www.idealista.pt/arrendar-casas/seixal-arrentela-aldeia-de-paio-pires/quinta-da-trindade/
492,,seixal,seixal arrentela aldeia de paio pires,torre da marinha,https://www.idealista.pt/arrendar-casas/seixal-arrentela-aldeia-de-paio-pires/torre-da-marinha/
493,,seixal,seixal arrentela aldeia de paio pires,bairro novo quinta dona maria,https://www.idealista.pt/arrendar-casas/seixal-arrentela-aldeia-de-paio-pires/bairro-novo-quinta-dona-maria/
494,,seixal,seixal arrentela aldeia de paio pires,centro de arrentela,https://www.idealista.pt/arrendar-casas/seixal-arrentela-aldeia-de-paio-pires/centro-de-arrentela/
495,,seixal,seixal arrentela aldeia de paio pires,vale da romeira vale de carros cavadas,https://www.idealista.pt/arrendar-casas/seixal-arrentela-aldeia-de-paio-pires/vale-da-romeira-vale-de-carros-cavadas/
496,,seixal,corroios,santa marta do pinhal,https://www.idealista.pt/arrendar-casas/corroios/santa-marta-do-pinhal/
497,,seixal,corroios,centro,https://www.idealista.pt/arrendar-casas/corroios/centro/
498,,seixal,corroios,miratejo qta do brasileiro qta do rouxinol,https://www.idealista.pt/arrendar-casas/corroios/miratejo-qta-do-brasileiro-qta-do-rouxinol/
499,,seixal,corroios,verdizela,https://www.idealista.pt/arrendar-casas/corroios/verdizela/
500,,seixal,corroios,marisol valadares quinta da queimada,https://www.idealista.pt/arrendar-casas/corroios/marisol-valadares-quinta-da-queimada/
501,,seixal,corroios,alto do moinho,https://www.idealista.pt/arrendar-casas/corroios/alto-do-moinho/
502,,seixal,corroios,pinhal vidal,https://www.idealista.pt/arrendar-casas/corroios/pinhal-vidal/
503,,seixal,corroios,vale de milhacos,https://www.idealista.pt/arrendar-casas/corroios/vale-de-milhacos/
504,,seixal,fernao ferro,redondos,https://www.idealista.pt/arrendar-casas/fernao-ferro/redondos/
505,,seixal,fernao ferro,quinta das laranjeiras,https://www.idealista.pt/arrendar-casas/fernao-ferro/quinta-das-laranjeiras/
506,,seixal,fernao ferro,centro,https://www.idealista.pt/arrendar-casas/fernao-ferro/centro/
507,,seixal,fernao ferro,pinhal do general,https://www.idealista.pt/arrendar-casas/fernao-ferro/pinhal-do-general/
508,,seixal,fernao ferro,monteverde,https://www.idealista.pt/arrendar-casas/fernao-ferro/monteverde/
509,,seixal,amora,cruz de pau,https://www.idealista.pt/arrendar-casas/amora/cruz-de-pau/
510,,seixal,amora,foros de amora,https://www.idealista.pt/arrendar-casas/amora/foros-de-amora/
511,,seixal,amora,belverde,https://www.idealista.pt/arrendar-casas/amora/belverde/
512,,seixal,amora,fogueteiro,https://www.idealista.pt/arrendar-casas/amora/fogueteiro/
513,,seixal,amora,paivas,https://www.idealista.pt/arrendar-casas/amora/paivas/
514,,palmela,palmela,centro,https://www.idealista.pt/arrendar-casas/palmela/centro/
515,,palmela,palmela,aires,https://www.idealista.pt/arrendar-casas/palmela/aires/
516,,palmela,palmela,quinta de asseca padre nabeto,https://www.idealista.pt/arrendar-casas/palmela/quinta-de-asseca-padre-nabeto/
517,,palmela,palmela,zona oeste,https://www.idealista.pt/arrendar-casas/palmela/zona-oeste/
518,,palmela,palmela,palmela norte,https://www.idealista.pt/arrendar-casas/palmela/palmela-norte/
519,,charneca da caparica e sobreda,aroeira,herdade da aroeira,https://www.idealista.pt/arrendar-casas/charneca-da-caparica-e-sobreda/aroeira/herdade-da-aroeira/
520,,charneca da caparica e sobreda,aroeira,aroeira norte,https://www.idealista.pt/arrendar-casas/charneca-da-caparica-e-sobreda/aroeira/aroeira-norte/
521,,charneca da caparica e sobreda,aroeira,aroeira central,https://www.idealista.pt/arrendar-casas/charneca-da-caparica-e-sobreda/aroeira/aroeira-central/
522,,sesimbra,quinta do conde,centro da quinta do conde,https://www.idealista.pt/arrendar-casas/quinta-do-conde/centro-da-quinta-do-conde/
523,,sesimbra,quinta do conde,quinta do peru,https://www.idealista.pt/arrendar-casas/quinta-do-conde/quinta-do-peru/
524,,sesimbra,quinta do conde,casal do sapo,https://www.idealista.pt/arrendar-casas/quinta-do-conde/casal-do-sapo/
525,,montijo,montijo e afonsoeiro,centro do montijo,https://www.idealista.pt/arrendar-casas/montijo-e-afonsoeiro/centro-do-montijo/
526,,montijo,montijo e afonsoeiro,portas da cidade alto das vinhas grandes,https://www.idealista.pt/arrendar-casas/montijo-e-afonsoeiro/portas-da-cidade-alto-das-vinhas-grandes/
527,,montijo,montijo e afonsoeiro,afonseiro,https://www.idealista.pt/arrendar-casas/montijo-e-afonsoeiro/afonseiro/
528,,montijo,montijo e afonsoeiro,corte esteval,https://www.idealista.pt/arrendar-casas/montijo-e-afonsoeiro/corte-esteval/
529,,montijo,montijo e afonsoeiro,bairro do areias,https://www.idealista.pt/arrendar-casas/montijo-e-afonsoeiro/bairro-do-areias/
530,,montijo,montijo e afonsoeiro,corte das cheias,https://www.idealista.pt/arrendar-casas/montijo-e-afonsoeiro/corte-das-cheias/
531,,montijo,montijo e afonsoeiro,pocinho colinas do oriente,https://www.idealista.pt/arrendar-casas/montijo-e-afonsoeiro/pocinho-colinas-do-oriente/
532,,viana do castelo,viana do castelo e meadela,centro historico,https://www.idealista.pt/arrendar-casas/viana-do-castelo-e-meadela/centro-historico/
533,,viana do castelo,viana do castelo e meadela,santa maria maior,https://www.idealista.pt/arrendar-casas/viana-do-castelo-e-meadela/santa-maria-maior/
534,,viana do castelo,viana do castelo e meadela,meadela,https://www.idealista.pt/arrendar-casas/viana-do-castelo-e-meadela/meadela/
535,,viana do castelo,viana do castelo e meadela,monserrate,https://www.idealista.pt/arrendar-casas/viana-do-castelo-e-meadela/monserrate/
536,,viseu,viseu,centro,https://www.idealista.pt/arrendar-casas/viseu/centro/
537,,viseu,viseu,marzovelos jugueiros,https://www.idealista.pt/arrendar-casas/viseu/marzovelos-jugueiros/
538,,viseu,viseu,zona historica,https://www.idealista.pt/arrendar-casas/viseu/zona-historica/
539,,viseu,viseu,aguieira santiago,https://www.idealista.pt/arrendar-casas/viseu/aguieira-santiago/
540,,viseu,viseu,gumiraes quinta da carreira,https://www.idealista.pt/arrendar-casas/viseu/gumiraes-quinta-da-carreira/
