,title,link,description,garage,price,home_type,city,date,source_link,home_size,home_area,floor,elevator,price_per_sqr_meter,neighborhood,price_per_sqr_meter_bin,price_bin,home_area_bin,street_names
2425,apartamento t3 na rua da belgica 2567 sampaioalumiaraverdinho canidelo,https://www.idealista.pt/imovel/32862367/,"Arrenda-se T3 no último andar em excelente estado de conservação com 156m2 de área bruta. Proximidade a vários serviços como supermercados, escolas, farmácias, bancos e restaurantes assim como ao nó de ligação à A1. Com duas frentes (nascente/poente), possui excelente exposição solar e vistas fantásticas sobre o mar. O",True,1600,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-7,t3,156,4,True,10.256411,canidelo,"(8.731, 12.701]","(1364.8, 2349.6]","(155.4, 183.68]",rua da belgica 2567
2426,apartamento t3 em lavadores canidelo,https://www.idealista.pt/imovel/33365406/,"Este magnífico apartamento T3, situado num prédio novo, com uma arquitetura moderna e elegante, oferece o equilíbrio perfeito entre luxo e conforto, proporcionando um estilo de vida sofisticado e prático.  
A sala ampla em open space é o coração do apartamento, criando um ambiente acolhedor e convidativo para momentos",True,3000,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-7,t3,183,0,False,16.393442,canidelo,"(12.701, 16.67]","(2349.6, 3334.4]","(155.4, 183.68]",canidelo
2427,apartamento t3 na travessa capitao carrilho 17 praia de francelos  praia de miramar gulpilhares e valadares,https://www.idealista.pt/imovel/33373559/,"T3+1 na praia de Miramar – Gaia - Porto
NÃO SE ACEITAM CONTACTOS DE IMOBILIÁRIAS PARA ANGARIAÇÃO.
A 100 metros da praia e da Alameda do Sr. da Pedra.
Ciclovia, café, padaria, minimercado, restaurantes e comércio próximos. Ecoponto na rua.
Golf de Miramar a 1km.
Estação de Miramar (comboio) a 600 metros e transportes",True,1750,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-8,t3,138,0,False,12.681159,gulpilhares e valadares,"(8.731, 12.701]","(1364.8, 2349.6]","(127.12, 155.4]",gulpilhares e valadares
2428,apartamento t3 em praia de brito  sao felix da marinha sao felix da marinha,https://www.idealista.pt/imovel/32961754/,"Apartamento com Vista para o Mar em São Félix da Marinha!
Você sempre sonhou viver numa casa à beira-mar?
Esta é a sua oportunidade! Este apartamento com 3 quartos, está localizado na primeira linha do mar em São Félix da Marinha.
Este apartamento está preparado para simplesmente se instalar com contrato de arrendam",True,2000,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-8,t3,132,0,False,15.151515,sao felix da marinha,"(12.701, 16.67]","(1364.8, 2349.6]","(127.12, 155.4]",sao felix da marinha
2429,apartamento t3 na avenida da republica 362 centro historico santa marinha e sao pedro da afurada,https://www.idealista.pt/imovel/33392791/,"Excelente apartamento T2+1 na principal avenida da cidade de Vila Nova de Gaia com umas vistas fantásticas para o rio Douro e Porto.
Estação do metro de General Torres a escassos metros.
Ótimos acesos para o Porto e para as principais vias da cidade.
Nas redondezas existem vários restaurantes, cafés, escolas, hospitais",True,1150,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-8,t3,110,1,True,10.454545,santa marinha e sao pedro da afurada,"(8.731, 12.701]","(355.38, 1364.8]","(98.84, 127.12]",sao pedro da afurada
2430,apartamento t3 na rua fernando mancellos 27 aguda  granja arcozelo,https://www.idealista.pt/imovel/33382419/,"Espaço T3 a 300m da praia da Granja e da estação de comboios. Com garagem fechada para dois carros. Alarme. Cozinha equipada e três casas de banho completas, incidido num prédio de enorme prestígio, com excelente área envolvente, ginásio, sauna, etc.",True,2500,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-8,t3,260,0,False,9.615385,arcozelo,"(8.731, 12.701]","(2349.6, 3334.4]","(240.24, 268.52]",arcozelo
2431,apartamento t3 na praceta sao cristovao 54 liceu  paco do rei mafamude e vilar do paraiso,https://www.idealista.pt/imovel/33355030/,"Apartamento em excelente estado, mobilado e equipado, com 2 wcs, varanda com marquise e lugar de garagem.
Localizado a 100 m do El Corte Inglês e estação de Metro João de Deus. Dispõe também de excelentes acessos.
Requisitos:
- Prazo mínimo de 1 ano de contrato:
- Apresentação de vencimentos compatíveis e fiador;
- P",True,1300,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-8,t3,115,2,True,11.304348,mafamude e vilar do paraiso,"(8.731, 12.701]","(355.38, 1364.8]","(98.84, 127.12]",mafamude e vilar do paraiso
2432,apartamento t3 em lavadores canidelo,https://www.idealista.pt/imovel/32694866/,"RESERVAS E PEDIDOS DE INFORMAÇÃO
Para obter informações detalhadas e reservar online, clique abaixo do mapa em “Link Adicional”.
TERMOS E CONDIÇÕES DE ALOJAMENTO:
- Data de Disponibilidade: 22/08/2024
- Duração Mínima de Aluguer: 27 dias
- Número Máximo de Hóspedes: 6
- Todas as Despesas Incluídas: Sim, para mais info",True,1510,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-8,t3,120,0,False,12.583333,canidelo,"(8.731, 12.701]","(1364.8, 2349.6]","(98.84, 127.12]",canidelo
2433,apartamento t3 na rua pedra torta 303 lavadores canidelo,https://www.idealista.pt/imovel/33218670/,"T3 vista mar fantástica com 124m2. A 250m da praia. Terraço com 104m2. 2 varandas, nascente e poente. Cozinha completa com vista mar, incluindo forno, vitro-cerâmico e máquina de lavar a loiça. 2 WCs completos com banheira. Aquecimento central a gás. Lareira.
Sala 33m2, cozinha 18m2, suíte 18m2, quarto com 11m2 e quar",True,1600,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-8,t3,124,2,True,12.903226,canidelo,"(12.701, 16.67]","(1364.8, 2349.6]","(98.84, 127.12]",canidelo
2434,apartamento t3 na rua manuel moreira barros 621 afurada  arrabida  cavaco santa marinha e sao pedro da afurada,https://www.idealista.pt/imovel/33031870/,"Excelente T3 com arrendamento anual.
Mobilado, este apartamento situado numa localização premium onde poderá encontrar comércios e serviços nas proximidades, encontrando-se a 1 minutos a pé do Arrabida Shopping e 2-3 minutos do Porto e Ribeira
Este apartamento oferece-lhe o conforto de poder viver num edifício com 2 el",True,1850,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-8,t3,160,3,True,11.5625,santa marinha e sao pedro da afurada,"(8.731, 12.701]","(1364.8, 2349.6]","(155.4, 183.68]",rua manuel sao pedro da afurada
